Date	Holiday
2013-01-01	New Years Day
2013-01-21	Martin Luther King Jr. Day
2013-02-18	Presidents' Day
2013-04-16	Emancipation Day
2013-05-12	Monther's Day
2013-05-27	Memorial Day
2013-06-16	Father's Day
2013-07-04	Independence Day
2013-09-02	Labor Day
2013-10-14	Columbus Day
2013-11-11	Veterans Day
2013-11-28	Thanksgiving
2013-11-29	Day after Thanksgiving	
2013-12-25	Christmas Day
2014-01-01	New Years Day
2014-01-20	Martin Luther King Jr. Day
2014-02-17	Presidents' Day
2014-04-16	Emancipation Day
2014-05-11	Monther's Day
2014-05-26	Memorial Day
2014-06-15	Father's Day
2014-07-04	Independence Day
2014-09-01	Labor Day
2014-10-13	Columbus Day
2014-11-11	Veterans Day
2014-11-27	Thanksgiving
2014-11-28	Day after Thanksgiving	
2014-12-25	Christmas Day
2015-01-01	New Years Day
2015-01-19	Martin Luther King Jr. Day
2015-02-16	Presidents' Day
2015-04-16	Emancipation Day
2015-05-10	Monther's Day
2015-05-25	Memorial Day
2015-06-21	Father's Day
2015-07-03	Independence Day
2015-09-07	Labor Day
2015-10-12	Columbus Day
2015-11-11	Veterans Day
2015-11-26	Thanksgiving
2015-11-27	Day after Thanksgiving	
2015-12-25	Christmas Day
2016-01-01	New Years Day
2016-01-18	Martin Luther King Jr. Day
2016-02-15	Presidents' Day
2016-04-15	Emancipation Day
2016-05-08	Monther's Day
2016-05-30	Memorial Day
2016-06-19	Father's Day
2016-07-04	Independence Day
2016-09-05	Labor Day
2016-10-10	Columbus Day
2016-11-11	Veterans Day
2016-11-24	Thanksgiving
2016-11-25	Day after Thanksgiving	
2016-12-25	Christmas Day
2017-01-01	New Years Day
2017-01-16	Martin Luther King Jr. Day
2017-02-20	Presidents' Day
2017-04-17	Emancipation Day
2017-05-14	Monther's Day
2017-05-29	Memorial Day
2017-06-18	Father's Day
2017-07-04	Independence Day
2017-09-04	Labor Day
2017-10-09	Columbus Day
2017-11-10	Veterans Day
2017-11-23	Thanksgiving
2017-11-24	Day after Thanksgiving	
2017-12-25	Christmas Day
2018-01-01	New Years Day
2018-01-15	Martin Luther King Jr. Day
2018-02-19	Presidents' Day
2018-04-16	Emancipation Day
2018-05-13	Monther's Day
2018-05-28	Memorial Day
2018-06-17	Father's Day
2018-07-04	Independence Day
2018-09-03	Labor Day
2018-10-08	Columbus Day
2018-11-12	Veterans Day
2018-11-22	Thanksgiving
2018-11-23	Day after Thanksgiving	
2018-12-25	Christmas Day
